,날짜,서울황사일수
502,1999-11,0
503,1999-12,0
504,2000-01,0
505,2000-02,0
506,2000-03,5
507,2000-04,5
508,2000-05,0
509,2000-06,0
510,2000-07,0
511,2000-08,0
512,2000-09,0
513,2000-10,0
514,2000-11,0
515,2000-12,0
516,2001-01,1
517,2001-02,0
518,2001-03,11
519,2001-04,9
520,2001-05,4
521,2001-06,0
522,2001-07,0
523,2001-08,0
524,2001-09,0
525,2001-10,0
526,2001-11,0
527,2001-12,2
528,2002-01,2
529,2002-02,0
530,2002-03,6
531,2002-04,6
532,2002-05,0
533,2002-06,0
534,2002-07,0
535,2002-08,0
536,2002-09,0
537,2002-10,0
538,2002-11,2
539,2002-12,0
540,2003-01,0
541,2003-02,0
542,2003-03,1
543,2003-04,2
544,2003-05,0
545,2003-06,0
546,2003-07,0
547,2003-08,0
548,2003-09,0
549,2003-10,0
550,2003-11,0
551,2003-12,0
552,2004-01,0
553,2004-02,1
554,2004-03,4
555,2004-04,1
556,2004-05,0
557,2004-06,0
558,2004-07,0
559,2004-08,0
560,2004-09,0
561,2004-10,0
562,2004-11,0
563,2004-12,0
564,2005-01,0
565,2005-02,0
566,2005-03,1
567,2005-04,9
568,2005-05,0
569,2005-06,0
570,2005-07,0
571,2005-08,0
572,2005-09,0
573,2005-10,0
574,2005-11,2
575,2005-12,0
576,2006-01,0
577,2006-02,0
578,2006-03,3
579,2006-04,7
580,2006-05,1
581,2006-06,0
582,2006-07,0
583,2006-08,0
584,2006-09,0
585,2006-10,0
586,2006-11,0
587,2006-12,0
588,2007-01,0
589,2007-02,1
590,2007-03,4
591,2007-04,2
592,2007-05,4
593,2007-06,0
594,2007-07,0
595,2007-08,0
596,2007-09,0
597,2007-10,0
598,2007-11,0
599,2007-12,1
600,2008-01,0
601,2008-02,1
602,2008-03,3
603,2008-04,2
604,2008-05,2
605,2008-06,0
606,2008-07,0
607,2008-08,0
608,2008-09,0
609,2008-10,0
610,2008-11,0
611,2008-12,3
612,2009-01,0
613,2009-02,1
614,2009-03,3
615,2009-04,0
616,2009-05,0
617,2009-06,0
618,2009-07,0
619,2009-08,0
620,2009-09,1
621,2009-10,1
622,2009-11,0
623,2009-12,3
624,2010-01,1
625,2010-02,0
626,2010-03,4
627,2010-04,1
628,2010-05,2
629,2010-06,0
630,2010-07,0
631,2010-08,0
632,2010-09,0
633,2010-10,0
634,2010-11,3
635,2010-12,4
636,2011-01,0
637,2011-02,0
638,2011-03,3
639,2011-04,0
640,2011-05,6
641,2011-06,0
642,2011-07,0
643,2011-08,0
644,2011-09,0
645,2011-10,0
646,2011-11,0
647,2011-12,0
648,2012-01,0
649,2012-02,0
650,2012-03,0
651,2012-04,0
652,2012-05,0
653,2012-06,0
654,2012-07,0
655,2012-08,0
656,2012-09,0
657,2012-10,0
658,2012-11,1
659,2012-12,0
660,2013-01,0
661,2013-02,0
662,2013-03,3
663,2013-04,0
664,2013-05,0
665,2013-06,0
