,날짜,행정구역,항목,미세먼지배출량
494,2002,광주광역시,비도로이동오염원,128236.0
495,2002,광주광역시,폐기물처리,1577.0
496,2002,대전광역시,배출원대분류 합계,962014.0
497,2002,대전광역시,에너지산업 연소,3776.0
498,2002,대전광역시,비산업 연소,43930.0
499,2002,대전광역시,제조업 연소,8709.0
500,2002,대전광역시,생산공정,543.0
501,2002,대전광역시,도로이동오염원,707230.0
502,2002,대전광역시,비도로이동오염원,191826.0
503,2002,대전광역시,폐기물처리,6001.0
504,2002,울산광역시,배출원대분류 합계,8834474.0
505,2002,울산광역시,에너지산업 연소,395897.0
506,2002,울산광역시,비산업 연소,354011.0
507,2002,울산광역시,제조업 연소,6061246.0
508,2002,울산광역시,생산공정,1048753.0
509,2002,울산광역시,도로이동오염원,612034.0
510,2002,울산광역시,비도로이동오염원,359171.0
511,2002,울산광역시,폐기물처리,3362.0
512,2002,경기도,배출원대분류 합계,8877063.0
513,2002,경기도,에너지산업 연소,322344.0
514,2002,경기도,비산업 연소,493179.0
515,2002,경기도,제조업 연소,784405.0
516,2002,경기도,생산공정,94891.0
517,2002,경기도,도로이동오염원,5795345.0
518,2002,경기도,비도로이동오염원,1365892.0
519,2002,경기도,폐기물처리,21005.0
520,2002,강원도,배출원대분류 합계,4503259.0
521,2002,강원도,에너지산업 연소,152727.0
522,2002,강원도,비산업 연소,131590.0
523,2002,강원도,제조업 연소,2736333.0
524,2002,강원도,생산공정,8984.0
525,2002,강원도,도로이동오염원,1169070.0
526,2002,강원도,비도로이동오염원,304118.0
527,2002,강원도,폐기물처리,439.0
528,2002,충청북도,배출원대분류 합계,4531216.0
529,2002,충청북도,에너지산업 연소,3780.0
530,2002,충청북도,비산업 연소,162765.0
531,2002,충청북도,제조업 연소,2341201.0
532,2002,충청북도,생산공정,88331.0
533,2002,충청북도,도로이동오염원,1536082.0
534,2002,충청북도,비도로이동오염원,390273.0
535,2002,충청북도,폐기물처리,8784.0
536,2002,충청남도,배출원대분류 합계,4319702.0
537,2002,충청남도,에너지산업 연소,1769107.0
538,2002,충청남도,비산업 연소,98573.0
539,2002,충청남도,제조업 연소,137450.0
540,2002,충청남도,생산공정,180714.0
541,2002,충청남도,도로이동오염원,1487812.0
542,2002,충청남도,비도로이동오염원,642623.0
543,2002,충청남도,폐기물처리,3423.0
544,2002,전라북도,배출원대분류 합계,2301232.0
545,2002,전라북도,에너지산업 연소,15997.0
546,2002,전라북도,비산업 연소,132801.0
547,2002,전라북도,제조업 연소,231454.0
548,2002,전라북도,생산공정,93085.0
549,2002,전라북도,도로이동오염원,1434139.0
550,2002,전라북도,비도로이동오염원,387274.0
551,2002,전라북도,폐기물처리,6483.0
552,2002,전라남도,배출원대분류 합계,6084817.0
553,2002,전라남도,에너지산업 연소,165612.0
554,2002,전라남도,비산업 연소,174165.0
555,2002,전라남도,제조업 연소,603807.0
556,2002,전라남도,생산공정,2804773.0
557,2002,전라남도,도로이동오염원,1476223.0
558,2002,전라남도,비도로이동오염원,857656.0
559,2002,전라남도,폐기물처리,2580.0
560,2002,경상북도,배출원대분류 합계,6057760.0
561,2002,경상북도,에너지산업 연소,138572.0
562,2002,경상북도,비산업 연소,176513.0
563,2002,경상북도,제조업 연소,766105.0
564,2002,경상북도,생산공정,1938842.0
565,2002,경상북도,도로이동오염원,2193882.0
566,2002,경상북도,비도로이동오염원,841273.0
567,2002,경상북도,폐기물처리,2574.0
568,2002,경상남도,배출원대분류 합계,4243030.0
569,2002,경상남도,에너지산업 연소,1044853.0
570,2002,경상남도,비산업 연소,113829.0
571,2002,경상남도,제조업 연소,104884.0
572,2002,경상남도,생산공정,5009.0
573,2002,경상남도,도로이동오염원,2270838.0
574,2002,경상남도,비도로이동오염원,697073.0
575,2002,경상남도,폐기물처리,6543.0
576,2002,제주특별자치도,배출원대분류 합계,519933.0
577,2002,제주특별자치도,에너지산업 연소,17521.0
578,2002,제주특별자치도,비산업 연소,65889.0
579,2002,제주특별자치도,제조업 연소,663.0
580,2002,제주특별자치도,생산공정,206.0
581,2002,제주특별자치도,도로이동오염원,312402.0
582,2002,제주특별자치도,비도로이동오염원,123134.0
583,2002,제주특별자치도,폐기물처리,119.0
584,2002,수도권,배출원대분류 합계,16082740.0
585,2002,수도권,에너지산업 연소,482993.0
586,2002,수도권,비산업 연소,883804.0
587,2002,수도권,제조업 연소,1302371.0
588,2002,수도권,생산공정,181746.0
589,2002,수도권,도로이동오염원,10539177.0
